subID,interview_age,sex,meanFD,site
HCD2737869,194,0,0.151707531437565,UMinn
HCD2740454,177,1,0.0883960316671418,UMinn
HCD2741961,179,1,0.109134466744422,UMinn
HCD2743157,110,0,0.157942722242234,WashU
HCD2748672,183,0,0.125405599038031,Harvard
HCD2751560,178,0,0.133385733272778,WashU
HCD2751964,113,0,0.143858216877077,UCLA
HCD2754061,176,1,0.154213274636087,Harvard
HCD2757370,172,1,0.108246649265093,WashU
HCD2761967,132,0,0.110873391795793,Harvard
HCD2764771,229,0,0.0829270656126221,WashU
HCD2768981,174,1,0.214732476819482,Harvard
HCD2785678,203,0,0.0966644604863395,UCLA
HCD2786074,126,0,0.170217577047334,UCLA
HCD2795479,143,0,0.175929509046789,UMinn
HCD2797584,216,0,0.103660599163141,WashU
HCD2801852,249,0,0.0812229919851639,UMinn
HCD2804151,169,1,0.194043223398459,UMinn
HCD2807460,202,1,0.100538617697959,WashU
HCD2810954,213,0,0.159904117913022,WashU
HCD2811552,164,1,0.150291689632604,UCLA
HCD2812352,127,0,0.19647895192546,UCLA
HCD2820351,252,1,0.0794528346705046,Harvard
HCD2828569,119,0,0.114063013059358,Harvard
HCD2832863,169,1,0.183286998963175,UCLA
HCD2833461,119,0,0.120082143963615,UMinn
HCD2841965,263,0,0.11406846234139,WashU
HCD2855875,97,1,0.194235767655749,Harvard
HCD2856170,179,0,0.127642925873722,WashU
HCD2860262,255,0,0.0561686236867474,UCLA
HCD2863975,136,0,0.127641988063119,UCLA
HCD2864270,255,0,0.141484161075975,Harvard
HCD2878382,166,0,0.0984182371114201,Harvard
HCD2879788,156,1,0.190166925507859,WashU
HCD2884175,175,0,0.15405457996414,UCLA
HCD2884377,118,0,0.126666501567322,UMinn
HCD2897184,177,1,0.150935896089552,UMinn
HCD2901654,196,1,0.111116749183642,Harvard
HCD2903759,234,1,0.137389884332437,Harvard
HCD2905460,175,1,0.178274685090837,WashU
HCD2926973,106,0,0.16467441465993,UMinn
HCD2930055,199,0,0.0903127599178957,UCLA
HCD2932665,183,1,0.234156724351264,WashU
HCD2936875,157,0,0.0956144652032471,Harvard
HCD2938172,136,0,0.153381897922704,UMinn
HCD2939275,195,0,0.101166013412502,WashU
HCD2945876,144,1,0.164972506913416,Harvard
HCD2957277,209,0,0.1149986108699,Harvard
HCD2968080,178,1,0.198418365449437,UMinn
HCD2976382,136,1,0.141353746899396,WashU
HCD2990073,163,0,0.114631659053385,Harvard
HCD2993079,194,0,0.0924645421113223,UMinn
HCD2996590,237,1,0.16424326608693,WashU
